DIM_COUNTRY_CODE,DIM_YEAR_CODE,DIM_GHECAUSE_TITLE,DIM_SEX_CODE,VAL_DTHS_RATE100K_NUMERIC
AFG,2021,Syphilis,MLE,1.53
AFG,2021,Diphtheria,MLE,0.11
AFG,2021,Rabies,MLE,0.29
AFG,2021,Liver Cancer,MLE,2.19
AFG,2021,Bladder Cancer,MLE,0.94
AFG,2021,Larynx Cancer,MLE,0.64
AFG,2021,Thalassaemias,MLE,0.17
AFG,2021,Rheumatic Heart Disease,MLE,1.62
AFG,2021,Urolithiasis,MLE,0.04
AFG,2021,Sudden Infant Death Syndrome,MLE,0.31
AFG,2021,"Fire, Heat And Hot Substances",MLE,0.82
AFG,2021,Tuberculosis,MLE,17.29
AFG,2021,Hiv/Aids,MLE,2.58
AFG,2021,Acute Hepatitis B,MLE,2.38
AFG,2021,Protein-Energy Malnutrition,MLE,1.09
AFG,2021,Stomach Cancer,MLE,4.87
AFG,2021,Chronic Obstructive Pulmonary Disease,MLE,7.87
AFG,2021,Gastritis And Duodenitis,MLE,0.06
AFG,2021,Inflammatory Bowel Disease,MLE,0.06
AFG,2021,Kidney Diseases,MLE,9.26
AFG,2021,Poisonings,MLE,2.88
AFG,2021,Exposure To Mechanical Forces,MLE,8.36
AFG,2021,Meningitis,MLE,3.81
AFG,2021,Leishmaniasis,MLE,0.02
AFG,2021,Mouth And Oropharynx Cancers,MLE,2.78
AFG,2021,Testicular Cancer,MLE,0.23
AFG,2021,Kidney Cancer,MLE,1.06
AFG,2021,Diabetes Mellitus,MLE,4.53
AFG,2021,Multiple Sclerosis,MLE,0.06
AFG,2021,Self-Harm,MLE,4.81
AFG,2021,Acute Hepatitis E,MLE,0.09
AFG,2021,Echinococcosis,MLE,1.12
AFG,2021,Melanoma And Other Skin Cancers,MLE,0.59
AFG,2021,Brain And Nervous System Cancers,MLE,2.43
AFG,2021,Thyroid Cancer,MLE,0.12
AFG,2021,Sickle Cell Disorders And Trait,MLE,0.36
AFG,2021,Drug Use Disorders,MLE,1.69
AFG,2021,Parkinson Disease,MLE,1.14
AFG,2021,Cirrhosis Of The Liver,MLE,9.65
AFG,2021,Drowning,MLE,7.32
AFG,2021,Whooping Cough,MLE,1.72
AFG,2021,Malaria,MLE,0.2
AFG,2021,Upper Respiratory Infections,MLE,0.02
AFG,2021,Pancreas Cancer,MLE,0.87
AFG,2021,"Lymphomas, Multiple Myeloma",MLE,1.71
AFG,2021,Hypertensive Heart Disease,MLE,16.09
AFG,2021,Asthma,MLE,4.11
AFG,2021,Paralytic Ileus And Intestinal Obstruction,MLE,0.41
AFG,2021,Pancreatitis,MLE,0.21
AFG,2021,Falls,MLE,8.17
AFG,2021,Diarrhoeal Diseases,MLE,7.52
AFG,2021,Acute Hepatitis C,MLE,0.11
AFG,2021,Colon And Rectum Cancers,MLE,1.62
AFG,2021,Prostate Cancer,MLE,1.21
AFG,2021,Rheumatoid Arthritis,MLE,0.02
AFG,2021,Interpersonal Violence,MLE,13.25
AFG,2021,Encephalitis,MLE,0.3
AFG,2021,Acute Hepatitis A,MLE,1.54
